old,new
distillent,distilent
déculotte,déculote
effaceront,éfaceront
effectuerons,éfectuerons
effondrait,éfondrait
endommagez,endomagez
erraient,éraient
fusionnant,fusionant
handicapant,andicapant
honorerons,onorerons
humidifiant,umidifiant
humilient,umilient
hydratez,idratez
immisce,imisce
innocentée,inocentée
kidnappent,kidnapent
marmonnait,marmonait
marrée,marée
méthodiste,métodiste
nommèrent,nomèrent
opposerait,oposerait
papillonnais,papillonais
paralysera,paralisera
pâlotte,pâlote
rappelions,rapelions
rappliqueront,rapliqueront
rapprocha,raprocha
rattraperait,ratraperait
rebellée,rebélée
regretta,regréta
regrettée,regrétée
reprogrammé,reprogramé
roupette,roupète
saccagent,sacagent
sanctionnée,sanctionée
soupçonnons,soupçonons
suffoquée,sufoquée
supprimerai,suprimerai
tamponnez,tamponez
tamponnée,tamponée
verrouillait,vérouillait
abandonnerez,abandonerez
abandonniez,abandoniez
accabla,acabla
accolant,acolant
accolée,acolée
accorderiez,acorderiez
accorderons,acorderons
accorderont,acorderont
accostez,acostez
accoucha,acoucha
accourut,acourut
actionnaient,actionaient
additionneraient,aditioneraient
affaissé,afaissé
affermit,afermit
affolera,afolera
affolerait,afolerait
affrontait,afrontait
affronterez,afronterez
allaitais,alaitais
allouée,alouée
anesthésié,anestésié
annexé,anexé
appelai,apelai
appliquait,apliquait
appliquons,apliquons
apporteraient,aporteraient
apprivoiserai,aprivoiserai
appréhendent,apréendent
appâte,apâte
arrangerez,arangerez
arrogent,arogent
arrondit,arondit
assommait,assomait
attaquèrent,ataquèrent
atteignis,ateignis
attendri,atendri
attendrissait,atendrissait
attentiez,atentiez
atterrissant,atérissant
attestant,atestant
attisait,atisait
attribuons,atribuons
attroupaient,atroupaient
battis,batis
bouillonnent,bouillonent
bourgeonnent,bourgeonent
bâtonnant,bâtonant
cautionnaire,cautionaire
cavette,cavète
chamarré,chamaré
chantonnent,chantonent
charriant,chariant
chattant,chatant
chronométrant,cronométrant
coiffai,coifai
coifferais,coiferais
collectivisé,colectivisé
collons,colons
commencerions,comencerions
commentée,comentée
compromette,compromète
conditionnent,conditionent
corrigée,corigée
couronna,courona
couronnent,couronent
cramponnais,cramponais
cramponnée,cramponée
cristallisent,cristalisent
cristallisée,cristalisée
cryofracture,criofracture
dermographie,dermografie
dialysée,dialisée
distille,distile
débarrassant,débarassant
déchiffrât,déchifrât
décollerait,décolerait
dédommageait,dédomageait
développeraient,déveloperaient
efforcée,éforcée
effrayèrent,éfrayèrent
embarrassons,embarassons
embellira,embélira
embellissez,embélissez
empiffrent,empifrent
empiffrez,empifrez
emprisonnant,emprisonant
endettez,endétez
enflamma,enflama
engouffrera,engoufrera
enveloppai,envelopai
envelopperaient,enveloperaient
errera,èrera
errions,érions
espionnera,espionera
façonna,façona
fenestrelle,fenestrèle
ferraillant,féraillant
ferrasse,férasse
flagellerez,flagèlerez
flagelleront,flagèleront
flottiez,flotiez
fouetta,fouéta
frictionnez,frictionez
frissonné,frissoné
goudronnez,goudronez
graillonne,graillone
grattaient,grataient
greffent,grèfent
grelottions,grelotions
guerroyant,guéroyant
guettions,guétions
habillaient,abillaient
habillerait,abillerait
hitlérienne,hitlériène
honorera,onorera
horrifie,orifie
humanisée,umanisée
humecta,umecta
humiliez,umiliez
hypnotisaient,ipnotisaient
illumina,ilumina
immobilisait,imobilisait
impressionnais,impressionais
incommodera,incomodera
installerez,instalerez
insupportent,insuportent
irrigue,irigue
kidnapperai,kidnaperai
leurrons,leurons
libyenne,libyène
luttai,lutai
luttèrent,lutèrent
manoeuvraient,maneuvraient
marmiteux,marmiteus
marmonna,marmona
marraient,maraient
marrais,marais
mentionnerait,mentionerait
mollissez,molissez
nettoyiez,nétoyiez
oedipe,eudipe
oeuvrait,euvrait
oeuvrant,euvrant
opposerons,oposerons
panaméenne,panaméène
perquisitionne,perquisitione
phallo,falo
pourririez,pouririez
prénomment,prénoment
présuppose,présupose
périssodactyle,périssodactile
querellaient,querélaient
querellent,querèlent
querellons,querélons
raccommodent,racomodent
raccourcissent,racourcissent
ralliée,raliée
rapprocherait,raprocherait
rebiffe,rebife
reboutonnée,reboutonée
regrettiez,regrétiez
reprogramme,reprograme
retéléphone,retéléfone
rhabillant,rabillant
ronflette,ronflète
réappris,réapris
réhabilitant,réabilitant
réhabitue,réabitue
scatter,scater
sermonne,sermone
sniffait,snifait
somment,soment
sommé,somé
soufflerait,souflerait
spectrographie,spectrografie
succomba,sucomba
supplicierez,suplicierez
supportaient,suportaient
supportant,suportant
supposerai,suposerai
symbolisé,simbolisé
terramycine,téramicine
terrifient,térifient
terrorisa,térorisa
tonna,tona
triomphai,trionfai
triompherions,trionferions
trotta,trota
trottinez,trotinez
téléphoneront,téléfoneront
unidimensionnel,unidimensionel
valencienne,valenciène
vigneronne,vignerone
véhiculent,véiculent
ânonnait,ânonait
échapperont,échaperont
émettant,émétant
émettons,émétons
émotionne,émotione
accommodent,acomodent
accommodé,acomodé
accostent,acostent
accueillerons,acueillerons
accusiez,acusiez
additionnent,aditionent
analyserons,analiserons
annoncerons,anoncerons
annoncions,anoncions
approfondit,aprofondit
athénienne,athéniène
attardait,atardait
attenté,atenté
attirèrent,atirèrent
attribuant,atribuant
barra,bara
bottait,botait
bouillonnait,bouillonait
bourdonnait,bourdonait
calla,cala
coiffiez,coifiez
contorsionne,contorsione
contractuellement,contractuèlement
diffame,difame
différaient,diféraient
déchiffre,déchifre
déshabillaient,désabillaient
déshabillerai,désabillerai
effacerons,éfacerons
effectuant,éfectuant
enserré,enséré
enterraient,entéraient
entonnait,entonait
espionnée,espionée
flippée,flipée
fonctionneront,fonctioneront
fusionne,fusione
habilla,abilla
impressionnait,impressionait
interrogeai,intérogeai
irakienne,irakiène
irradie,iradie
lutterait,luterait
mystifié,mistifié
méthanol,métanol
nettoierait,nétoierait
nettoierons,nétoierons
offensait,ofensait
offrirez,ofrirez
orthographié,ortografié
pardonneraient,pardoneraient
photocopiée,fotocopiée
pilonnent,pilonent
querellez,querélez
raccorde,racorde
raccrocherai,racrocherai
recollé,recolé
regretterait,regrèterait
regretteriez,regrèteriez
remballé,rembalé
saccageant,sacageant
sanctionne,sanctione
scannent,scanent
serrerait,sèrerait
sonnèrent,sonèrent
succombera,sucombera
suffoqué,sufoqué
supporteront,suporteront
suppute,supute
thorine,torine
triompherons,trionferons
visionne,visione
échappez,échapez
échappions,échapions
écoeurée,équeurée
accompagneriez,acompagneriez
accomplirait,acomplirait
accrochons,acrochons
accroitra,acroitra
affiné,afiné
afflué,aflué
affutée,afutée
agrippa,agripa
allaitée,alaitée
allongea,alongea
amphibien,anfibien
annihilateur,aniilateur
annulaient,anulaient
annulons,anulons
appauvrie,apauvrie
appliquerez,apliquerez
appuya,apuya
arrangeaient,arangeaient
assommons,assomons
attisée,atisée
bagarrant,bagarant
balloches,baloches
battriez,batriez
bottons,botons
chauffaient,chaufaient
coffrait,cofrait
correspondra,corespondra
cyanosé,cianosé
cyanosée,cianosée
différait,diférait
dynamitée,dinamitée
décoiffez,décoifez
désapprouvé,désaprouvé
détonnait,détonait
effleurant,éfleurant
efforcerons,éforcerons
empoisonnaient,empoisonaient
empoisonnais,empoisonais
entonnent,entonent
enverriez,envériez
façonnerai,façonerai
fouetterai,fouèterai
fourra,foura
fourraient,fouraient
frappai,frapai
grattant,gratant
guettons,guétons
habillerons,abillerons
halopéridol,alopéridol
hypochondriaque,hipocondriaque
hâtivement,âtivement
hébergeant,ébergeant
hébergeons,ébergeons
inhumée,inumée
installaient,instalaient
interrogerons,intérogerons
journaleux,journaleus
manoeuvré,maneuvré
marmonné,marmoné
moissonnerai,moissonerai
occasionnée,ocasionée
occultent,ocultent
offusquée,ofusquée
opposa,oposa
parr,par
passionnaient,passionaient
permettrons,permétrons
piaffe,piafe
polluait,poluait
presbytérien,presbitérien
rallument,ralument
rallumée,ralumée
recommanderait,recomanderait
recommencée,recomencée
réchaufferez,réchauferez
révolutionnera,révolutionera
serrions,sérions
sifflerai,siflerai
sollicitons,solicitons
souffrions,soufrions
soumettons,soumétons
soupçonnant,soupçonant
stylisée,stilisée
supplient,suplient
torys,toris
torréfié,toréfié
transmettrez,transmétrez
verrions,vérions
zyeute,zieute
échappai,échapai
éperonne,éperone
abattrons,abatrons
accommoderait,acomoderait
accosta,acosta
accostait,acostait
affleurait,afleurait
affluant,afluant
affrontée,afrontée
affute,afute
agrippez,agripez
allongeons,alongeons
almanachs,almanacs
amolli,amoli
analysent,analisent
ankylosé,ankilosé
annulerez,anulerez
anthropologiste,antropologiste
approcheront,aprocheront
apprécièrent,aprécièrent
appuyèrent,apuyèrent
arrosais,arosais
atrophient,atrofient
attirerai,atirerai
beurrais,beurais
blottissent,blotissent
bourrent,bourent
boycotte,boycote
cohabitaient,coabitaient
collaient,colaient
collectionnées,colectionées
combattiez,combatiez
commercent,comercent
commettra,cométra
communiais,comuniais
congestionnent,congestionent
conquerra,conquéra
corrigerez,corigerez
corromps,coromps
crayonne,crayone
décrypte,décripte
déshérite,désérite
effectuait,éfectuait
effiloché,éfiloché
effondreront,éfondreront
empoisonnerai,empoisonerai
enflammant,enflamant
enrhument,enrument
enterrant,entérant
enterreront,entèreront
entonné,entoné
enveloppèrent,envelopèrent
excommunie,excomunie
flagellent,flagèlent
flipperont,fliperont
frictionnait,frictionait
gaffez,gafez
guetterait,guèterait
habituèrent,abituèrent
happent,hapent
happé,hapé
haschisch,aschisch
hermaphrodite,ermafrodite
hébergeaient,ébergeaient
hériteront,ériteront
héritons,éritons
incommoderai,incomoderai
inhabituellement,inabituèlement
interrogiez,intérogiez
irrita,irita
kidnapperaient,kidnaperaient
lutterai,luterai
mam'selle,mam'sèle
marmonnez,marmonez
mentionnerai,mentionerai
mentionnons,mentionons
missionné,missioné
moissonne,moissone
morphogénétique,morfogénétique
moyeux,moyeus
métamorphosée,métamorfosée
oeuvré,euvré
offenseraient,ofenseraient
opposerez,oposerez
ordonnait,ordonait
ordonnant,ordonant
ordonnera,ordonera
panné,pané
passionnait,passionait
perquisitionnent,perquisitionent
positionnée,positionée
pouffait,poufait
quadriphonique,quadrifonique
rabattez,rabatez
raccrocherait,racrocherait
ralliant,raliant
rallumaient,ralumaient
rapporteront,raporteront
rattachant,ratachant
recommandèrent,recomandèrent
reconnaissions,reconaissions
redonnerai,redonerai
rembarré,rembaré
retransmettrons,retransmétrons
ronchonnant,ronchonant
réaffecter,réafecter
réapparue,réaparue
réchappons,réchapons
résonneront,résoneront
scellait,scélait
stoppa,stopa
subventionné,subventioné
suffisions,sufisions
supposait,suposait
sélectionnera,sélectionera
sélectionnez,sélectionez
tahitienne,tahitiène
terrifierait,térifierait
thésaurise,tésaurise
tranquillisera,tranquilisera
triomphait,trionfait
tyrannisent,tiranisent
verrouilla,vérouilla
échauffent,échaufent
échauffons,échaufons
étouffa,étoufa
accommodèrent,acomodèrent
accras,acras
accueilleront,acueilleront
affale,afale
aiguillonnent,aiguillonent
allongiez,alongiez
allégea,alégea
almohade,almoade
annonceront,anonceront
appellerions,apèlerions
applaudisse,aplaudisse
apprendriez,aprendriez
appropriaient,apropriaient
approuvât,aprouvât
apprécierions,aprécierions
appuyai,apuyai
arrimant,arimant
asphaltée,asfaltée
assommeraient,assomeraient
attachiez,atachiez
attachèrent,atachèrent
attaquiez,ataquiez
attendriez,atendriez
attendrirent,atendrirent
attribuèrent,atribuèrent
auditionnais,auditionais
auditionnent,auditionent
authentifiée,autentifiée
ballaient,balaient
bastonnée,bastonée
benzonaphtol,benzonaftol
blasphèment,blasfèment
botteur,boteur
bottée,botée
briffe,brife
cantonnaient,cantonaient
chaparral,chaparal
choupette,choupète
colophané,colofané
combattions,combations
constitutionnaliste,constitutionaliste
diffusait,difusait
diffuserions,difuserions
diffuseront,difuseront
dysthymie,distimie
débarrassèrent,débarassèrent
décollassions,décolassions
décrypteur,décripteur
dédommagea,dédomagea
dégouttait,dégoutait
démarrée,démarée
démissionnera,démissionera
déraisonné,déraisoné
déshabillait,désabillait
déshabillant,désabillant
déshumidification,désumidification
effleurait,éfleurait
effritait,éfritait
embellissaient,embélissaient
empiffre,empifre
empoisonnait,empoisonait
emprisonnez,emprisonez
engouffre,engoufre
enterrerait,entèrerait
entonnais,entonais
errez,érez
fathma,fatma
fellinienne,féliniène
flagellaient,flagélaient
flemmardais,flémardais
frictionnais,frictionais
gratterai,graterai
grattât,gratât
griffait,grifait
habillant,abillant
habituai,abituai
harassés,arassés
huilait,uilait
hypothéquez,ipotéquez
héritée,éritée
hésiteriez,ésiteriez
illusionnez,ilusionez
immergeons,imergeons
immergèrent,imergèrent
installeraient,instaleraient
installerions,instalerions
installiez,instaliez
insuffle,insufle
interrogeaient,intérogeaient
kidnappez,kidnapez
laponne,lapone
lutteront,luteront
mamzelle,mamzèle
maquerellage,maquerélage
marmotta,marmota
marra,mara
mentionna,mentiona
mystifie,mistifie
méconnais,méconais
métamorphosant,métamorfosant
nippez,nipez
occupa,ocupa
omettant,ométant
oppressaient,opressaient
ordonnai,ordonai
parcourrions,parcourions
peccavi,pécavi
permettais,permétais
philosophé,filosofé
phosphatine,fosfatine
photographièrent,fotografièrent
phylloxera,filoxera
polissonnait,polissonait
pomponné,pomponé
raccourcissant,racourcissant
rallia,ralia
rallongeaient,ralongeaient
rappelâmes,rapelâmes
recommandera,recomandera
reconnaitraient,reconaitraient
recyclée,reciclée
regretterons,regrèterons
renverraient,renvéraient
saccagea,sacagea
scannage,scanage
scannée,scanée
stationnent,stationent
stoppèrent,stopèrent
supplicié,suplicié
suppliera,supliera
supprimaient,suprimaient
tchékhoviennes,tchékoviènes
thermo,termo
thrène,trène
tâtonnait,tâtonait
télécommandée,télécomandée
zéphire,zéfire
égouttait,égoutait
émettez,émétez
étoufferaient,étouferaient
acclamaient,aclamaient
accompagnerait,acompagnerait
accomplirez,acomplirez
accumulée,acumulée
accusaient,acusaient
admettront,admétront
adonnait,adonait
agrippent,agripent
annulait,anulait
appliquera,apliquera
apprenions,aprenions
approchions,aprochions
appréciant,apréciant
apprécierons,aprécierons
attardons,atardons
attelez,atelez
attribuent,atribuent
attribuera,atribuera
attristée,atristée
cardiomyopathie,cardiomiopatie
coffrons,cofrons
collectons,colectons
commettait,cométait
communiquant,comuniquant
communiquiez,comuniquiez
corrompe,corompe
courriez,couriez
cristallisé,cristalisé
diffusant,difusant
durham,duram
dynamité,dinamité
décommandez,décomandez
démarrant,démarant
déshabillons,désabillons
enterrerez,entèrerez
excellez,excélez
flipperait,fliperait
fouettait,fouétait
hydrochlorique,hidroclorique
hypnotisant,ipnotisant
immortalise,imortalise
indiffèrent,indifèrent
innové,inové
installèrent,instalèrent
interrompra,intérompra
jetterez,jèterez
leurrez,leurez
leurré,leuré
milliseconde,miliseconde
méprennent,méprènent
méthédrine,métédrine
perfectionne,perfectione
raff,raf
rapportons,raportons
recommanderiez,recomanderiez
renverrez,renvérez
ronchonne,ronchone
saccarine,sacarine
sollicitent,solicitent
spectrographique,spectrografique
stationnée,stationée
stoppera,stopera
trimballait,trimbalait
trotté,troté
zappez,zapez
échappiez,échapiez
émettait,émétait
éthiquement,étiquement
accorderait,acorderait
accouchent,acouchent
affronterait,afronterait
agrippant,agripant
amarra,amara
anesthésiée,anestésiée
annihilée,aniilée
annuleront,anuleront
arrimez,arimez
atterrissait,atérissait
atterrissons,atérissons
attrapions,atrapions
atténuent,aténuent
bottent,botent
commenté,comenté
commercé,comercé
commotionnée,comotionée
communiquerai,comuniquerai
communiquerons,comuniquerons
contrecarre,contrecare
corrigeons,corigeons
corroborera,coroborera
dhole,dole
débarrasserons,débarasserons
débattant,débatant
décollerons,décolerons
démissionnais,démissionais
déverrouillé,dévérouillé
effrayerait,éfrayerait
engouffré,engoufré
excellait,excélait
existentielles,existentièles
ferrez,férez
flippais,flipais
fredonnait,fredonait
gonorrhée,gonorée
hallucinais,alucinais
halon,alon
honorait,onorait
illustrant,ilustrant
illustrent,ilustrent
irrigué,irigué
irritez,iritez
millenium,milenium
mouffette,moufète
occultée,ocultée
officie,oficie
pomponne,pompone
questionnent,questionent
questionnera,questionera
ralliez,raliez
rapporteraient,raporteraient
rattachée,ratachée
réchauffait,réchaufait
sniffais,snifais
sniffez,snifez
stoppons,stopons
suppliaient,supliaient
terrifiez,térifiez
transmettront,transmétront
zoophilie,zoofilie
abandonnaient,abandonaient
accrédité,acrédité
acquittent,acquitent
admettait,admétait
affectaient,afectaient
affectionnait,afectionait
afficherai,aficherai
ankh,ank
annuliez,anuliez
appartiendront,apartiendront
applaudira,aplaudira
approcherait,aprocherait
approuvant,aprouvant
appréciai,apréciai
appréhendez,apréendez
apprêtant,aprêtant
appuyons,apuyons
arraisonné,araisoné
aspergillus,aspergilus
assommera,assomera
atténué,aténué
baht,bat
banyan,banian
barricadons,baricadons
barricadée,baricadée
cambodgienne,cambodgiène
cartographié,cartografié
cimarron,cimaron
coffrée,cofrée
collaborerai,colaborerai
combattront,combatront
connaitraient,conaitraient
consommant,consomant
coordonnera,coordonera
courraient,couraient
desserrée,dessérée
débarrasserait,débarasserait
décollant,décolant
déculotté,déculoté
déprogrammé,déprogramé
déprogrammée,déprogramée
développaient,dévelopaient
déverrouillée,dévérouillée
effraiera,éfraiera
endommagera,endomagera
enflammait,enflamait
entreprennent,entreprènent
exhume,exume
extravéhiculaire,extravéiculaire
fonctionnez,fonctionez
fonctionnons,fonctionons
fouettent,fouètent
fourrant,fourant
habitueront,abitueront
hydratée,idratée
hypercalcémie,ipercalcémie
hériterait,ériterait
immiscent,imiscent
immobilisera,imobilisera
incommodé,incomodé
klaxonnent,klaxonent
luttiez,lutiez
marmonnant,marmonant
mentionniez,mentioniez
mercurochrome,mercurocrome
myocardiopathie,miocardiopatie
nettoyaient,nétoyaient
nourrirons,nourirons
nubienne,nubiène
occultez,ocultez
offrions,ofrions
opposaient,oposaient
oxydé,oxidé
paralysent,paralisent
pardonnais,pardonais
phéochromocytome,féocromocitome
plafonne,plafone
préprogrammé,préprogramé
rallient,ralient
rallongé,ralongé
rattachent,ratachent
recoiffe,recoife
recommandiez,recomandiez
reconnecte,reconecte
recyclez,reciclez
remettions,remétions
remettriez,remétriez
réaffectée,réafectée
réaffirmé,réafirmé
réapparaitrait,réaparaitrait
réapparut,réaparut
réchaufferai,réchauferai
saoudienne,saoudiène
saperlotte,saperlote
siphonne,sifone
soumettant,soumétant
stationnez,stationez
subventionnée,subventionée
suffoquait,sufoquait
supplante,suplante
supposiez,suposiez
supprimerait,suprimerait
échelonné,écheloné
abandonnions,abandonions
abattaient,abataient
abattiez,abatiez
accaparée,acaparée
accommoderai,acomoderai
accouplant,acouplant
accrochaient,acrochaient
additionné,aditioné
affirma,afirma
affirmons,afirmons
allâmes,alâmes
allégez,alégez
amérindienne,amérindiène
annihile,aniile
annonciez,anonciez
appareillez,apareillez
appuieront,apuieront
arachnide,aracnide
assaisonnée,assaisonée
atteignions,ateignions
atterrirai,atérirai
authentifie,autentifie
bannissons,banissons
barrera,barera
bastonné,bastoné
carotté,caroté
chiffonnait,chifonait
chronométrez,cronométrez
collerez,colerez
commenceriez,comenceriez
commettais,cométais
commettiez,cométiez
compromettent,compromètent
connectivité,conectivité
contusionné,contusioné
corrigent,corigent
dactylographié,dactilografié
diffuserons,difuserons
différenciez,diférenciez
différez,diférez
déboutonnée,déboutonée
déchiffrée,déchifrée
démissionnent,démissionent
démissionniez,démissioniez
effarouché,éfarouché
effaçaient,éfaçaient
embellissent,embélissent
endommageant,endomageant
fouettera,fouètera
frottons,frotons
goudronné,goudroné
graffeur,grafeur
humidifié,umidifié
immiscé,imiscé
impressionnerait,impressionerait
inhalez,inalez
interrompit,intérompit
irradiée,iradiée
luttera,lutera
lyophilisé,liofilisé
nourrirez,nourirez
occupions,ocupions
oedipien,eudipien
offririez,ofririez
offris,ofris
opposons,oposons
oppressent,opressent
oppriment,opriment
parapsychologue,parapsicologue
penthotal,pentotal
photostat,fotostat
programment,programent
prénomme,prénome
préoccuperait,préocuperait
ralliera,raliera
rationne,ratione
rayonnez,rayonez
reboutonne,reboutone
recommenceriez,recomenceriez
recommença,recomença
reconnecté,reconecté
recyclent,reciclent
rejetterait,rejèterait
rembourre,remboure
remettaient,remétaient
rho,ro
réarrange,réarange
sectionnez,sectionez
serrerez,sèrerez
serriez,sériez
siffla,sifla
sifflotant,siflotant
sifflée,siflée
sollicitant,solicitant
soufflaient,souflaient
soumettent,soumètent
stoppent,stopent
supplierez,suplierez
supposions,suposions
tannent,tanent
téléphonerait,téléfonerait
échauffait,échaufait
étonnerez,étonerez
acclamons,aclamons
accomplissait,acomplissait
accordions,acordions
accouchais,acouchais
accouplera,acouplera
accourra,acoura
actionnée,actionée
affaiblisse,afaiblisse
affaissée,afaissée
affalez,afalez
affamez,afamez
allongerai,alongerai
amibienne,amibiène
apparaissiez,aparaissiez
apparaissons,aparaissons
apprendraient,aprendraient
approcherons,aprocherons
approprient,aproprient
approuverai,aprouverai
approvisionnent,aprovisionent
appréhendée,apréendée
apprêtions,aprêtions
appuierez,apuierez
arracheraient,aracheraient
arrime,arime
arrimée,arimée
arrondissent,arondissent
assommerait,assomerait
attardent,atardent
attendirent,atendirent
atterrirez,atérirez
atterré,atéré
attestera,atestera
attraperiez,atraperiez
baccarat,bacarat
bagarraient,bagaraient
bagarrais,bagarais
bagarrait,bagarait
bannit,banit
barricadent,baricadent
bourdonnaient,bourdonaient
buffalo,bufalo
bétonné,bétoné
cartonnent,cartonent
casette,casète
chaufferai,chauferai
chiffré,chifré
chloroformé,cloroformé
choppez,chopez
chronométrée,cronométrée
coffrera,cofrera
collaborera,colaborera
collectait,colectait
colliez,coliez
combattit,combatit
commandaient,comandaient
commettaient,cométaient
commotionné,comotioné
connectent,conectent
correspondraient,corespondraient
corrigiez,corigiez
corrompant,corompant
corrompent,corompent
cyanoacrylate,cianoacrilate
dessellez,dessélez
donnerions,donerions
démissionna,démissiona
désarçonne,désarçone
déterrant,détérant
détonne,détone
effaciez,éfaciez
effectuerai,éfectuerai
effleurent,éfleurent
effondrerais,éfondrerais
enflammez,enflamez
enserre,ensère
errons,érons
excommuniée,excomuniée
exhibent,exibent
frapperaient,fraperaient
frotterai,froterai
frottiez,frotiez
grattouillis,gratouillis
griffant,grifant
guetterai,guèterai
hallucinez,alucinez
harmonisait,armonisait
hibernent,ibernent
honorerait,onorerait
huilez,uilez
humectant,umectant
humiliait,umiliait
humiliera,umiliera
hyponatrémie,iponatrémie
hériterai,ériterai
hésiterons,ésiterons
hésitiez,ésitiez
illusionne,ilusione
inhalait,inalait
interconnecté,interconecté
interrogions,intérogions
interrompait,intérompait
jaffer,jafer
klaxonnait,klaxonait
lutta,luta
marrions,marions
mentionnant,mentionant
mettrions,métrions
mullah,mula
nommerons,nomerons
nommeront,nomeront
officiait,oficiait
officié,oficié
ordonnerait,ordonerait
oxygéné,oxigéné
paralysa,paralisa
pardonnant,pardonant
personnifie,personifie
phalarope,falarope
phalère,falère
postillonne,postillone
projettera,projètera
psilocybine,psilocibine
querellé,querélé
rackette,rackète
raffine,rafine
rappelleraient,rapèleraient
rappliquerais,rapliquerais
rattachait,ratachait
rattrapa,ratrapa
rattrapant,ratrapant
rayonnent,rayonent
recollera,recolera
reconditionnement,reconditionement
rediffusé,redifusé
redonnait,redonait
réapparaissait,réaparaissait
réchappera,réchapera
réinterroge,réintéroge
sermonné,sermoné
sillonnaient,sillonaient
sommeillait,someillait
soumettrez,soumétrez
subventionnent,subventionent
suffirent,sufirent
supplierait,suplierait
supporta,suporta
supporteriez,suporteriez
supposera,suposera
supprimera,suprimera
syndiquez,sindiquez
synthétisée,sintétisée
talonnent,talonent
terrait,térait
terrorisez,térorisez
transmettait,transmétait
trimballez,trimbalez
triomphaient,trionfaient
téléphoniez,téléfoniez
téléphonons,téléfonons
échapperons,échaperons
échappèrent,échapèrent
émettrons,émétrons
érythrophobie,éritrofobie
acclamait,aclamait
acclamera,aclamera
accompliront,acompliront
accouchera,acouchera
accouraient,acouraient
accourrait,acourait
accourront,acouront
accoutré,acoutré
accrocherait,acrocherait
accroissant,acroissant
accroissent,acroissent
accroissez,acroissez
accréditée,acréditée
acculez,aculez
accumulaient,acumulaient
accumulait,acumulait
accuserez,acuserez
acquittait,acquitait
acquittera,acquitera
actionnent,actionent
admettaient,admétaient
adonné,adoné
affaiblissez,afaiblissez
affalée,afalée
affecteront,afecteront
affichera,afichera
affiliée,afiliée
affirmée,afirmée
affluaient,afluaient
affolons,afolons
affrète,afrète
aguerrie,aguérie
allongera,alongera
alloue,aloue
allèle,alèle
amarrait,amarait
amerri,améri
amidonné,amidoné
analysais,analisais
analyserai,analiserai
annoncerait,anoncerait
annulerons,anulerons
anthracine,antracine
appareillé,apareillé
appartenions,apartenions
appliquaient,apliquaient
appliquerait,apliquerait
apposez,aposez
apposé,aposé
appréhendait,apréendait
appréhendant,apréendant
apprîmes,aprîmes
archifaux,archifaus
arrachai,arachai
arrachiez,arachiez
arrangions,arangions
arrondissons,arondissons
arrosaient,arosaient
arrêterions,arêterions
attacha,atacha
attaqueriez,ataqueriez
attardant,atardant
atteignaient,ateignaient
atterrirent,atérirent
atterrissaient,atérissaient
atterrée,atérée
attirerez,atirerez
attirerons,atirerons
attireront,atireront
badigeonné,badigeoné
bottant,botant
botteront,boteront
bourguignonne,bourguignone
boycottez,boycotez
calville,calvile
carboxyhémoglobine,carboxiémoglobine
catastrophé,catastrofé
cautionnez,cautionez
charrient,charient
chleuh,chleu
cohabité,coabité
coiffera,coifera
collectant,colectant
collectionnons,colectionons
collectée,colectée
combattraient,combatraient
commanderait,comanderait
commenceraient,comenceraient
commenta,comenta
commettrez,cométrez
communiez,comuniez
commute,comute
commémorant,comémorant
commémore,comémore
commémorons,comémorons
compromettiez,comprométiez
congestionnée,congestionée
corrigeait,corigeait
corrodé,corodé
crevettiers,crevetiers
crypto,cripto
dactylographiée,dactilografiée
différencient,diférencient
déballent,débalent
déballons,débalons
déballée,débalée
déboutonnez,déboutonez
décongestionnant,décongestionant
démarreront,démareront
démettez,démétez
démissionnerez,démissionerez
dépannée,dépanée
désapprouvaient,désaprouvaient
désapprouvais,désaprouvais
désapprouverait,désaprouverait
désarçonnée,désarçonée
déshumanisent,désumanisent
déterra,détéra
déterrera,détèrera
effectuent,éfectuent
effleurez,éfleurez
effondrant,éfondrant
effondreraient,éfondreraient
efforcera,éforcera
efforçaient,éforçaient
effrayais,éfrayais
effritent,éfritent
embarrasserai,embarasserai
empaffe,empafe
empiffrait,empifrait
enterrions,entérions
enveloppaient,envelopaient
errai,érai
erriez,ériez
espionnerai,espionerai
espionnons,espionons
exhibez,exibez
exhortons,exortons
exhumée,exumée
flattons,flatons
flipperais,fliperais
flotterait,floterait
flotterez,floterez
foehn,feun
foisonnent,foisonent
fonctionna,fonctiona
fouettais,fouétais
fourrons,fourons
frappèrent,frapèrent
fredonnais,fredonais
fredonnent,fredonent
fredonné,fredoné
frissonnez,frissonez
fusionneront,fusioneront
griffonné,grifoné
habilite,abilite
habilliez,abilliez
habituerait,abituerait
harmonise,armonise
harponné,harponé
homérique,omérique
humidifient,umidifient
humilierai,umilierai
hypnotisent,ipnotisent
hypothermique,ipotermique
hypothéquée,ipotéquée
hébergent,ébergent
hésiterez,ésiterez
illustra,ilustra
illustrait,ilustrait
immiscée,imiscée
immunise,imunise
inapprochable,inaprochable
inhibant,inibant
instillé,instilé
interpellerait,interpèlerait
interrogea,intérogea
interrompent,intérompent
jalonnent,jalonent
kidnappait,kidnapait
kidnappant,kidnapant
libretto,libréto
lyophilisée,liofilisée
manoeuvrait,maneuvrait
martyrisée,martirisée
mentionnerez,mentionerez
mollissent,molissent
morphique,morfique
mycène,micène
myoglobine,mioglobine
